DrawNumber,Number1,Number2,Number3,Number4,Number5,Number6,Bonus,Power,Strike1,Strike2,Strike3,Strike4
1603,10,12,21,24,29,40,19,01,24,12,10,40
1604,02,12,22,24,26,31,08,05,02,26,12,22
1605,01,05,13,26,30,32,27,05,32,05,01,26
1606,03,06,09,25,26,28,31,04,09,06,25,26
1607,17,19,22,28,35,36,11,06,36,17,19,35
1608,06,08,11,16,21,34,12,09,06,11,08,34
1609,04,13,16,25,26,27,01,01,27,26,16,25
1610,08,16,23,30,37,38,28,06,08,30,23,38
1611,09,13,22,29,32,40,16,05,29,22,13,32
1612,01,02,11,31,32,38,27,05,38,31,32,01
1613,08,13,14,21,25,31,06,04,14,25,31,08
1614,03,07,13,20,30,34,19,03,13,20,03,34
1615,01,14,22,27,34,36,05,03,14,34,22,36
1616,06,08,09,10,17,19,37,04,17,06,19,08
1617,02,13,18,25,31,35,15,08,13,31,25,35
1618,02,03,16,17,38,39,31,02,17,02,16,39
1619,04,06,25,35,39,40,23,05,40,25,04,39
1620,11,15,17,23,30,35,29,10,11,15,35,23
1621,03,05,28,29,32,36,20,01,32,03,29,28
1622,06,10,14,24,28,35,30,07,35,14,24,28
1623,06,14,19,30,34,36,12,03,34,06,30,14
1624,25,27,33,34,37,39,18,04,34,25,39,37
1625,01,11,18,21,22,38,27,10,01,21,11,18
1626,01,07,14,25,35,38,27,09,14,35,01,25
1627,02,03,04,05,13,36,01,05,13,03,05,36
1628,09,11,12,22,32,36,20,09,36,12,32,11
1629,01,05,23,32,38,40,18,02,01,32,05,40
1630,10,17,23,27,28,33,40,06,28,17,33,23
1631,02,11,24,28,29,37,27,04,11,37,28,02
